,country,points,price,variety,millesime
3204,US,90,22.0,Riesling,2021.0
3205,US,90,22.0,Red Blend,2021.0
3206,US,90,41.0,Cabernet Sauvignon,2019.0
3208,US,90,30.0,Chardonnay,2020.0
3211,Spain,88,22.0,Red Blend,2016.0
3212,US,88,36.0,Syrah,2015.0
3213,Spain,88,21.0,Red Blend,2016.0
3218,France,88,55.0,Bordeaux-style Red Blend,2015.0
3219,France,88,24.0,Rosé,2018.0
3221,US,88,23.0,Merlot,2017.0
3222,US,88,38.0,Merlot,2015.0
3223,US,88,31.0,Cabernet Sauvignon,2016.0
3225,US,88,35.0,Cabernet Sauvignon,2016.0
3227,US,88,29.0,Chardonnay,2017.0
3232,US,88,35.0,Pinot Noir,2016.0
3235,US,88,53.0,Chardonnay,2017.0
3238,US,88,24.0,Merlot,2017.0
3240,US,86,18.0,Cabernet Sauvignon,2018.0
3241,US,86,14.0,Sauvignon Blanc,2020.0
3243,Italy,86,25.0,Red Blend,2016.0
3244,US,86,38.0,Cabernet Sauvignon,2018.0
3245,US,86,19.0,Red Blend,2019.0
3250,US,86,18.0,Pinot Noir,2020.0
3253,Italy,86,32.0,Red Blend,2015.0
3256,US,86,23.0,Merlot,2019.0
3257,US,86,26.0,Pinot Noir,2019.0
3258,US,86,23.0,Syrah,2019.0
3259,US,86,23.0,Merlot,2019.0
3262,US,86,33.0,Bordeaux-style Red Blend,2017.0
3265,France,86,14.0,Rosé,2020.0
3267,Italy,86,36.0,Red Blend,2017.0
3276,US,87,27.0,Rosé,2013.0
3277,Australia,87,29.0,Red Blend,2011.0
3279,US,87,45.0,Pinot Noir,2012.0
3280,US,87,49.0,Pinot Noir,2012.0
3281,Argentina,87,25.0,Red Blend,2012.0
3282,Italy,87,21.0,Red Blend,2011.0
3285,US,87,42.0,Syrah,2011.0
3289,US,87,43.0,Syrah,2012.0
3291,US,87,27.0,Sauvignon Blanc,2012.0
3292,US,87,38.0,Chardonnay,2011.0
3297,Portugal,87,23.0,Red Blend,2010.0
3299,Spain,87,57.0,Red Blend,2009.0
3304,US,87,31.0,Pinot Noir,2012.0
3305,US,87,92.0,Cabernet Sauvignon,2010.0
3306,US,87,41.0,Cabernet Sauvignon,2009.0
3311,US,87,42.0,Pinot Noir,2011.0
3313,US,87,42.0,Pinot Noir,2014.0
3316,US,87,32.0,Red Blend,2013.0
3317,US,87,30.0,Pinot Noir,2015.0
3324,France,87,27.0,Bordeaux-style Red Blend,2014.0
3326,US,87,44.0,Pinot Noir,2015.0
3331,France,84,21.0,Chardonnay,2018.0
3332,US,84,17.0,Chardonnay,2019.0
3333,France,84,18.0,Chardonnay,2018.0
3334,US,84,15.0,Riesling,2018.0
3335,France,84,23.0,Pinot Noir,2017.0
3336,US,84,12.0,Rosé,2019.0
3339,US,84,12.0,Chardonnay,2018.0
3342,France,84,23.0,Pinot Noir,2017.0
3344,US,84,15.0,Chardonnay,2018.0
3346,Spain,84,11.0,Chardonnay,2019.0
3347,France,84,29.0,Pinot Noir,2017.0
3348,France,84,22.0,Chardonnay,2018.0
3350,US,84,41.0,Cabernet Sauvignon,2015.0
3351,US,84,14.0,Riesling,2018.0
3352,France,84,17.0,Chardonnay,2018.0
3353,France,84,17.0,Chardonnay,2018.0
3356,US,84,32.0,Red Blend,2017.0
3357,US,84,26.0,Cabernet Sauvignon,2016.0
3360,Germany,92,30.0,Riesling,2021.0
3361,US,92,51.0,Cabernet Sauvignon,2019.0
3362,US,92,134.0,Cabernet Sauvignon,2019.0
3363,Australia,92,27.0,Riesling,2020.0
3366,US,92,35.0,Chardonnay,2020.0
3369,US,92,45.0,Pinot Noir,2020.0
3371,US,92,49.0,Pinot Noir,2020.0
3373,US,92,35.0,Chardonnay,2020.0
3375,US,92,39.0,Syrah,2020.0
3377,US,92,53.0,Bordeaux-style Red Blend,2018.0
3379,US,92,36.0,Syrah,2019.0
3381,Germany,92,31.0,Riesling,2021.0
3382,Germany,92,66.0,Riesling,2018.0
3384,US,92,28.0,Riesling,2021.0
3385,Spain,92,34.0,Red Blend,2018.0
3386,US,92,38.0,Syrah,2020.0
3389,US,84,18.0,Riesling,2019.0
3391,Argentina,84,11.0,Chardonnay,2020.0
3394,US,84,16.0,Pinot Noir,2019.0
3395,US,84,20.0,Chardonnay,2020.0
3396,Argentina,84,16.0,Cabernet Sauvignon,2019.0
3397,US,84,12.0,Cabernet Sauvignon,2019.0
3399,Argentina,84,13.0,Cabernet Sauvignon,2019.0
3403,US,84,27.0,Pinot Noir,2018.0
3404,US,84,21.0,Chardonnay,2019.0
3408,Spain,83,9.0,Sauvignon Blanc,2020.0
3412,US,83,29.0,Pinot Noir,2019.0
3415,US,83,9.0,Chardonnay,2019.0
3417,US,83,16.0,Syrah,2019.0
3418,US,83,16.0,Pinot Noir,2019.0
3423,US,86,26.0,Syrah,2018.0
3428,US,86,27.0,Pinot Noir,2019.0
3429,US,86,30.0,Merlot,2017.0
3430,US,86,22.0,Sauvignon Blanc,2019.0
3435,US,88,26.0,Syrah,2019.0
3438,US,88,41.0,Cabernet Sauvignon,2018.0
3441,US,88,41.0,Syrah,2020.0
3445,US,88,36.0,Pinot Noir,2020.0
3446,US,88,25.0,Pinot Noir,2020.0
3448,Italy,88,25.0,Red Blend,2020.0
3450,US,88,17.0,Merlot,2020.0
3452,Argentina,88,17.0,Cabernet Sauvignon,2021.0
3454,Australia,88,21.0,Chardonnay,2020.0
3455,US,88,20.0,Sauvignon Blanc,2021.0
3456,Argentina,88,21.0,Cabernet Sauvignon,2020.0
3458,US,88,19.0,Syrah,2020.0
3459,Australia,88,20.0,Pinot Noir,2021.0
3461,US,88,43.0,Pinot Noir,2014.0
3463,Italy,88,46.0,Red Blend,2007.0
3466,US,88,25.0,Cabernet Sauvignon,2013.0
3468,US,88,62.0,Red Blend,2010.0
3475,US,88,46.0,Pinot Noir,2013.0
3478,France,88,27.0,Bordeaux-style Red Blend,2013.0
3479,France,88,42.0,Bordeaux-style Red Blend,2013.0
3480,France,88,68.0,Bordeaux-style Red Blend,2013.0
3484,US,87,21.0,Riesling,2015.0
3485,US,87,42.0,Pinot Noir,2014.0
3487,US,87,26.0,Chardonnay,2014.0
3491,US,87,24.0,Chardonnay,2016.0
3495,Germany,87,41.0,Riesling,2015.0
3496,Chile,87,19.0,Syrah,2015.0
3499,US,87,23.0,Chardonnay,2015.0
3502,US,88,18.0,Cabernet Sauvignon,2021.0
3503,US,88,18.0,Red Blend,2020.0
3507,US,88,23.0,Red Blend,2018.0
3508,US,88,20.0,Pinot Noir,2021.0
3511,US,88,26.0,Pinot Noir,2021.0
3514,US,88,36.0,Pinot Noir,2020.0
3517,US,88,28.0,Pinot Noir,2020.0
3520,US,88,33.0,Red Blend,2019.0
3522,US,88,20.0,Rosé,2021.0
3529,Germany,88,17.0,Riesling,2021.0
3532,Australia,92,47.0,Cabernet Sauvignon,2015.0
3533,US,92,29.0,Sauvignon Blanc,2018.0
3534,Australia,92,65.0,Cabernet Sauvignon,2015.0
3535,US,92,43.0,Chardonnay,2017.0
3537,France,92,42.0,Bordeaux-style Red Blend,2017.0
3538,Austria,92,35.0,Riesling,2018.0
3542,US,92,55.0,Cabernet Sauvignon,2016.0
3543,US,92,40.0,Cabernet Sauvignon,2016.0
3546,US,92,55.0,Pinot Noir,2016.0
3547,Australia,92,40.0,Riesling,2018.0
3549,US,92,41.0,Chardonnay,2017.0
3551,US,92,29.0,Riesling,2018.0
3552,Germany,92,37.0,Riesling,2017.0
3553,US,92,45.0,Pinot Noir,2017.0
3558,US,92,45.0,Cabernet Sauvignon,2016.0
3559,France,89,25.0,Sauvignon Blanc,2021.0
3566,France,89,22.0,Sauvignon Blanc,2021.0
3567,France,89,22.0,Sauvignon Blanc,2021.0
3569,Germany,89,18.0,Riesling,2022.0
3571,Argentina,89,20.0,Chardonnay,2022.0
3572,US,89,30.0,Pinot Noir,2020.0
3575,France,89,22.0,Sauvignon Blanc,2021.0
3577,US,89,38.0,Cabernet Sauvignon,2020.0
3578,US,89,26.0,Pinot Noir,2021.0
3580,US,89,30.0,Pinot Noir,2018.0
3581,US,89,22.0,Chardonnay,2021.0
3582,US,89,36.0,Pinot Noir,2020.0
3583,Germany,89,21.0,Riesling,2021.0
3584,US,89,24.0,Sauvignon Blanc,2021.0
3586,Italy,89,25.0,Red Blend,2018.0
3590,France,86,18.0,Rosé,2016.0
3591,France,86,51.0,Bordeaux-style Red Blend,2013.0
3592,France,86,35.0,Bordeaux-style Red Blend,2013.0
3593,US,86,34.0,Merlot,2015.0
3599,US,86,29.0,Chardonnay,2016.0
3600,US,86,43.0,Pinot Noir,2013.0
3602,France,86,22.0,Bordeaux-style Red Blend,2015.0
3607,US,86,29.0,Pinot Noir,2015.0
3608,US,86,18.0,Sauvignon Blanc,2016.0
3611,US,86,24.0,Sauvignon Blanc,2016.0
3613,Chile,86,18.0,Cabernet Sauvignon,2015.0
3617,US,86,22.0,Chardonnay,2015.0
3619,Chile,82,13.0,Sauvignon Blanc,2016.0
3620,Chile,82,11.0,Pinot Noir,2017.0
3622,US,82,17.0,Cabernet Sauvignon,2015.0
3623,US,82,17.0,Merlot,2014.0
3624,US,82,16.0,Cabernet Sauvignon,2015.0
3625,US,82,30.0,Syrah,2016.0
3626,US,82,44.0,Cabernet Sauvignon,2013.0
3627,Chile,82,16.0,Rosé,2016.0
3628,US,82,16.0,Pinot Noir,2016.0
3629,US,82,19.0,Red Blend,2015.0
3630,Chile,82,15.0,Sauvignon Blanc,2017.0
3631,Chile,82,9.0,Cabernet Sauvignon,2017.0
3633,US,82,13.0,Cabernet Sauvignon,2016.0
3636,US,81,29.0,Merlot,2014.0
3637,Chile,81,8.0,Rosé,2017.0
3638,US,81,12.0,Pinot Noir,2016.0
3640,Portugal,80,4.0,Rosé,2017.0
3641,Chile,80,9.0,Chardonnay,2016.0
3645,Italy,93,71.0,Red Blend,2011.0
3646,Austria,93,81.0,Riesling,2012.0
3647,Austria,93,71.0,Riesling,2012.0
3648,US,93,66.0,Chardonnay,2012.0
3649,US,93,60.0,Cabernet Sauvignon,2011.0
3650,US,93,48.0,Sauvignon Blanc,2012.0
3651,US,93,67.0,Syrah,2010.0
3653,US,93,62.0,Cabernet Sauvignon,2010.0
3654,US,92,77.0,Red Blend,2011.0
3655,US,92,60.0,Syrah,2010.0
3657,Argentina,92,84.0,Bordeaux-style Red Blend,2010.0
3658,US,92,95.0,Red Blend,2010.0
3659,US,92,58.0,Red Blend,2011.0
3660,US,92,80.0,Cabernet Sauvignon,2010.0
3661,US,92,70.0,Cabernet Sauvignon,2010.0
3662,US,92,45.0,Chardonnay,2012.0
3663,US,84,23.0,Merlot,2013.0
3665,US,84,24.0,Chardonnay,2015.0
3668,US,84,21.0,Bordeaux-style Red Blend,2015.0
3669,US,84,18.0,Merlot,2014.0
3670,US,84,31.0,Red Blend,2013.0
3671,France,84,16.0,Rosé,2015.0
3673,Chile,84,14.0,Cabernet Sauvignon,2014.0
3674,US,84,14.0,Chardonnay,2014.0
3678,US,84,13.0,Pinot Noir,2015.0
3681,Chile,84,13.0,Chardonnay,2015.0
3686,US,91,39.0,Pinot Noir,2018.0
3688,US,91,55.0,Pinot Noir,2018.0
3690,France,91,36.0,Chardonnay,2018.0
3691,France,91,51.0,Pinot Noir,2018.0
3696,US,91,36.0,Pinot Noir,2018.0
3700,Italy,91,67.0,Red Blend,2014.0
3701,Argentina,91,47.0,Bordeaux-style Red Blend,2016.0
3702,Germany,91,66.0,Riesling,2018.0
3704,US,91,46.0,Pinot Noir,2018.0
3706,Germany,91,40.0,Riesling,2018.0
3707,US,91,39.0,Chardonnay,2018.0
3708,US,91,44.0,Pinot Noir,2018.0
3711,Argentina,91,34.0,Red Blend,2016.0
3716,Germany,88,40.0,Pinot Noir,2015.0
3721,US,88,34.0,Cabernet Sauvignon,2015.0
3725,France,88,29.0,Bordeaux-style Red Blend,2015.0
3730,France,86,14.0,Red Blend,2021.0
3731,Chile,86,15.0,Cabernet Sauvignon,2020.0
3732,US,86,14.0,Chardonnay,2020.0
3736,France,86,16.0,Rosé,2021.0
3743,Chile,86,14.0,Cabernet Sauvignon,2020.0
3745,US,86,27.0,Merlot,2019.0
3746,US,86,19.0,Bordeaux-style Red Blend,2019.0
3747,Chile,86,13.0,Cabernet Sauvignon,2020.0
3748,US,86,13.0,Merlot,2019.0
3750,US,86,15.0,Cabernet Sauvignon,2020.0
3753,France,86,16.0,Riesling,2021.0
3757,US,86,20.0,Merlot,2017.0
3758,France,86,19.0,Rosé,2019.0
3759,Argentina,86,18.0,Red Blend,2018.0
3761,Italy,86,21.0,Chardonnay,2017.0
3762,US,86,18.0,Riesling,2018.0
3764,US,86,16.0,Riesling,2019.0
3765,US,86,19.0,Sauvignon Blanc,2018.0
3766,US,86,19.0,Sauvignon Blanc,2019.0
3767,Spain,86,14.0,Rosé,2019.0
3770,US,86,38.0,Chardonnay,2018.0
3773,US,86,35.0,Pinot Noir,2018.0
3774,US,86,22.0,Chardonnay,2018.0
3775,US,86,37.0,Pinot Noir,2018.0
3776,Italy,86,29.0,Red Blend,2016.0
3779,US,86,21.0,Chardonnay,2017.0
3780,US,86,21.0,Riesling,2018.0
3782,US,86,16.0,Cabernet Sauvignon,2018.0
3784,US,86,17.0,Rosé,2018.0
3787,US,88,34.0,Cabernet Sauvignon,2018.0
3790,US,88,55.0,Red Blend,2015.0
3791,US,88,30.0,Chardonnay,2018.0
3793,US,88,18.0,Riesling,2019.0
3795,US,88,25.0,Syrah,2017.0
3797,Italy,88,21.0,Red Blend,2018.0
3800,US,88,21.0,Chardonnay,2019.0
3801,Chile,88,19.0,Cabernet Sauvignon,2018.0
3802,US,88,19.0,Riesling,2019.0
3803,US,88,18.0,Riesling,2019.0
3806,US,88,19.0,Sauvignon Blanc,2019.0
3807,US,88,20.0,Cabernet Sauvignon,2018.0
3809,Chile,88,20.0,Cabernet Sauvignon,2018.0
3810,US,88,26.0,Chardonnay,2019.0
3811,France,88,22.0,Red Blend,2017.0
3817,Italy,93,75.0,Red Blend,2013.0
3820,US,93,41.0,Chardonnay,2016.0
3821,Spain,93,87.0,Red Blend,2015.0
3822,US,93,51.0,Pinot Noir,2017.0
3824,France,93,80.0,Syrah,2015.0
3825,France,93,111.0,Syrah,2015.0
3826,Italy,93,47.0,Red Blend,2015.0
3827,US,93,46.0,Chardonnay,2016.0
3828,US,93,71.0,Pinot Noir,2016.0
3830,Italy,93,36.0,Red Blend,2016.0
3831,US,93,88.0,Cabernet Sauvignon,2016.0
3837,Italy,93,38.0,Red Blend,2016.0
3838,France,93,37.0,Riesling,2016.0
3840,US,93,55.0,Pinot Noir,2017.0
3842,Italy,93,35.0,Red Blend,2016.0
3844,Italy,93,32.0,Red Blend,2016.0
3846,US,93,53.0,Pinot Noir,2017.0
3847,Italy,92,52.0,Red Blend,2014.0
3849,US,92,58.0,Cabernet Sauvignon,2014.0
3850,Germany,92,42.0,Riesling,2015.0
3851,US,92,95.0,Pinot Noir,2014.0
3856,Chile,92,65.0,Cabernet Sauvignon,2014.0
3857,US,92,39.0,Syrah,2014.0
3858,US,92,58.0,Pinot Noir,2014.0
3859,US,92,62.0,Cabernet Sauvignon,2014.0
3860,US,92,58.0,Red Blend,2014.0
3864,US,92,51.0,Syrah,2015.0
3868,US,91,39.0,Cabernet Sauvignon,2013.0
3869,US,91,32.0,Sauvignon Blanc,2015.0
3871,Germany,91,76.0,Riesling,2015.0
3874,US,91,52.0,Pinot Noir,2014.0
3876,US,86,24.0,Pinot Noir,2014.0
3878,US,86,42.0,Chardonnay,2012.0
3879,US,86,23.0,Sauvignon Blanc,2015.0
3881,US,86,18.0,Riesling,2014.0
3884,US,86,55.0,Red Blend,2013.0
3886,Australia,86,19.0,Chardonnay,2014.0
3888,US,86,18.0,Cabernet Sauvignon,2013.0
3889,US,86,26.0,Sauvignon Blanc,2015.0
3892,US,86,42.0,Syrah,2012.0
3893,US,86,24.0,Chardonnay,2014.0
3897,Spain,86,21.0,Red Blend,2014.0
3898,US,86,19.0,Sauvignon Blanc,2014.0
3899,US,87,21.0,Chardonnay,2020.0
3901,US,87,22.0,Chardonnay,2019.0
3904,US,87,27.0,Chardonnay,2019.0
3912,US,87,29.0,Pinot Noir,2019.0
3915,US,87,25.0,Pinot Noir,2019.0
3916,US,87,28.0,Pinot Noir,2019.0
3917,Argentina,87,27.0,Chardonnay,2019.0
3920,US,87,30.0,Pinot Noir,2020.0
3921,US,87,23.0,Red Blend,2019.0
3929,Argentina,83,9.0,Red Blend,2014.0
3930,Argentina,83,10.0,Cabernet Sauvignon,2016.0
3934,Argentina,83,12.0,Red Blend,2016.0
3937,US,83,19.0,Chardonnay,2015.0
3941,Argentina,83,11.0,Rosé,2016.0
3943,US,83,11.0,Chardonnay,2016.0
3947,Australia,83,15.0,Pinot Noir,2015.0
3948,Portugal,83,9.0,Rosé,2016.0
3950,Portugal,83,8.0,Rosé,2016.0
3953,Spain,83,12.0,Red Blend,2015.0
3957,US,90,96.0,Bordeaux-style Red Blend,2014.0
3958,Chile,90,41.0,Pinot Noir,2014.0
3959,Chile,90,36.0,Syrah,2013.0
3963,France,90,122.0,Pinot Noir,2014.0
3964,France,90,88.0,Pinot Noir,2014.0
3965,US,90,188.0,Cabernet Sauvignon,2012.0
3972,France,90,36.0,Bordeaux-style Red Blend,2014.0
3974,US,90,103.0,Cabernet Sauvignon,2012.0
3975,US,90,31.0,Sauvignon Blanc,2015.0
3976,US,90,46.0,Syrah,2013.0
3980,US,85,17.0,Chardonnay,2011.0
3981,US,85,28.0,Chardonnay,2010.0
3986,Italy,85,34.0,Red Blend,2010.0
3987,Italy,85,21.0,Red Blend,2011.0
3991,US,85,37.0,Syrah,2011.0
3993,US,85,20.0,Sauvignon Blanc,2012.0
3994,US,85,22.0,Sauvignon Blanc,2012.0
3997,US,88,24.0,Riesling,2018.0
3999,US,88,23.0,Riesling,2018.0
4001,US,88,23.0,Sauvignon Blanc,2018.0
4002,Argentina,88,24.0,Cabernet Sauvignon,2015.0
4003,US,88,30.0,Sauvignon Blanc,2018.0
4004,France,88,22.0,Rosé,2019.0
4005,France,88,21.0,Rosé,2019.0
4009,US,88,24.0,Sauvignon Blanc,2018.0
4014,US,88,32.0,Chardonnay,2017.0
4020,US,88,41.0,Chardonnay,2018.0
4021,US,88,50.0,Red Blend,2016.0
4027,US,88,25.0,Merlot,2019.0
4028,US,88,23.0,Pinot Noir,2020.0
4031,US,88,20.0,Sauvignon Blanc,2021.0
4033,US,88,18.0,Sauvignon Blanc,2021.0
4034,US,88,30.0,Cabernet Sauvignon,2019.0
4036,France,88,26.0,Pinot Noir,2020.0
4037,France,88,27.0,Chardonnay,2020.0
4043,US,88,19.0,Rosé,2021.0
4045,Argentina,88,21.0,Cabernet Sauvignon,2020.0
4047,US,88,20.0,Chardonnay,2020.0
4052,US,88,21.0,Rosé,2021.0
4053,Italy,88,47.0,Red Blend,2017.0
4055,US,88,27.0,Chardonnay,2020.0
4057,US,90,26.0,Rosé,2020.0
4058,US,90,23.0,Chardonnay,2019.0
4059,US,90,24.0,Red Blend,2019.0
4061,US,90,26.0,Sauvignon Blanc,2020.0
4062,US,90,31.0,Red Blend,2018.0
4063,US,90,40.0,Syrah,2018.0
4064,US,90,39.0,Merlot,2016.0
4065,US,90,37.0,Cabernet Sauvignon,2018.0
4066,US,90,34.0,Sauvignon Blanc,2019.0
4067,Italy,90,45.0,Red Blend,2017.0
4072,US,90,24.0,Sauvignon Blanc,2020.0
4075,US,90,32.0,Red Blend,2018.0
4077,US,90,47.0,Red Blend,2018.0
4078,US,90,41.0,Red Blend,2015.0
4079,US,90,44.0,Cabernet Sauvignon,2018.0
4080,US,90,32.0,Red Blend,2018.0
4081,France,90,32.0,Sauvignon Blanc,2019.0
4082,US,90,31.0,Red Blend,2019.0
4083,US,90,67.0,Chardonnay,2010.0
4085,Chile,90,37.0,Red Blend,2018.0
4086,US,90,30.0,Syrah,2018.0
4087,US,86,45.0,Cabernet Sauvignon,2016.0
4088,Spain,86,17.0,Chardonnay,2019.0
4098,Chile,86,17.0,Pinot Noir,2019.0
4099,Australia,86,15.0,Riesling,2020.0
4100,US,86,41.0,Bordeaux-style Red Blend,2017.0
4101,US,86,21.0,Sauvignon Blanc,2019.0
4103,US,86,20.0,Chardonnay,2019.0
4106,US,86,23.0,Pinot Noir,2018.0
4109,Chile,86,18.0,Sauvignon Blanc,2020.0
4110,US,90,56.0,Chardonnay,2019.0
4111,US,90,30.0,Pinot Noir,2020.0
4112,US,90,48.0,Bordeaux-style Red Blend,2018.0
4114,Germany,90,22.0,Riesling,2021.0
4115,Germany,90,21.0,Riesling,2021.0
4116,US,90,22.0,Sauvignon Blanc,2021.0
4117,US,90,30.0,Red Blend,2020.0
4120,Germany,90,23.0,Riesling,2021.0
4123,US,90,32.0,Cabernet Sauvignon,2018.0
4124,US,90,38.0,Cabernet Sauvignon,2019.0
4131,France,90,27.0,Bordeaux-style Red Blend,2020.0
4132,US,90,28.0,Chardonnay,2020.0
4133,US,90,41.0,Pinot Noir,2019.0
4140,US,92,45.0,Pinot Noir,2020.0
4141,France,92,50.0,Chardonnay,2020.0
4142,France,92,31.0,Chardonnay,2021.0
4146,US,92,43.0,Pinot Noir,2020.0
4147,US,92,36.0,Chardonnay,2021.0
4148,US,92,43.0,Pinot Noir,2020.0
4149,US,92,37.0,Pinot Noir,2020.0
4150,US,92,62.0,Cabernet Sauvignon,2019.0
4152,US,92,35.0,Pinot Noir,2020.0
4153,US,92,53.0,Cabernet Sauvignon,2019.0
4157,US,92,34.0,Pinot Noir,2021.0
4158,US,92,50.0,Pinot Noir,2020.0
4160,US,92,31.0,Red Blend,2020.0
4161,US,92,35.0,Syrah,2020.0
4165,US,92,45.0,Chardonnay,2020.0
4168,US,92,36.0,Red Blend,2020.0
4169,Germany,92,86.0,Riesling,2021.0
4170,US,87,45.0,Red Blend,2017.0
4172,US,87,26.0,Merlot,2017.0
4175,US,87,18.0,Pinot Noir,2020.0
4176,US,87,31.0,Cabernet Sauvignon,2018.0
4177,US,87,19.0,Merlot,2018.0
4178,US,87,16.0,Merlot,2019.0
4179,US,87,16.0,Red Blend,2019.0
4182,Chile,87,17.0,Cabernet Sauvignon,2019.0
4184,France,87,38.0,Pinot Noir,2019.0
4185,Italy,87,16.0,Cabernet Sauvignon,2019.0
4186,US,87,36.0,Pinot Noir,2019.0
4187,US,87,18.0,Chardonnay,2019.0
4188,US,87,24.0,Bordeaux-style Red Blend,2018.0
4189,US,87,21.0,Pinot Noir,2019.0
4190,Italy,87,56.0,Red Blend,2017.0
4191,US,87,20.0,Sauvignon Blanc,2019.0
4193,US,87,22.0,Pinot Noir,2019.0
4194,US,87,28.0,Syrah,2018.0
4195,US,87,21.0,Chardonnay,2020.0
4196,Chile,87,21.0,Pinot Noir,2020.0
4199,Chile,87,19.0,Cabernet Sauvignon,2019.0
4200,US,87,17.0,Sauvignon Blanc,2021.0
4201,US,87,35.0,Cabernet Sauvignon,2019.0
4203,US,87,36.0,Syrah,2020.0
4204,France,87,18.0,Pinot Noir,2021.0
4208,France,87,21.0,Pinot Noir,2020.0
4214,US,87,21.0,Cabernet Sauvignon,2020.0
4216,US,87,27.0,Chardonnay,2020.0
4220,US,87,23.0,Chardonnay,2020.0
4224,US,87,18.0,Sauvignon Blanc,2021.0
4226,US,87,18.0,Chardonnay,2021.0
4228,US,87,21.0,Pinot Noir,2020.0
4233,US,88,20.0,Riesling,2021.0
4239,France,88,27.0,Chardonnay,2020.0
4240,US,88,57.0,Cabernet Sauvignon,2019.0
4241,Chile,88,22.0,Syrah,2020.0
4242,US,88,78.0,Cabernet Sauvignon,2017.0
4244,US,88,24.0,Chardonnay,2020.0
4245,US,88,30.0,Chardonnay,2020.0
4246,US,88,18.0,Red Blend,2019.0
4247,Chile,88,18.0,Sauvignon Blanc,2022.0
4249,US,88,23.0,Red Blend,2020.0
4250,US,88,29.0,Cabernet Sauvignon,2019.0
4251,US,88,35.0,Cabernet Sauvignon,2019.0
4253,US,88,21.0,Chardonnay,2021.0
4256,US,88,20.0,Red Blend,2020.0
4259,Chile,85,15.0,Merlot,2020.0
4260,US,85,14.0,Bordeaux-style Red Blend,2019.0
4261,US,85,17.0,Cabernet Sauvignon,2018.0
4262,France,85,14.0,Rosé,2020.0
4263,US,85,34.0,Cabernet Sauvignon,2018.0
4264,Spain,85,13.0,Red Blend,2019.0
4265,France,85,15.0,Bordeaux-style Red Blend,2019.0
4266,France,85,15.0,Bordeaux-style Red Blend,2019.0
4267,US,85,15.0,Rosé,2020.0
4268,US,85,22.0,Red Blend,2018.0
4269,US,85,21.0,Cabernet Sauvignon,2018.0
4270,US,85,14.0,Cabernet Sauvignon,2018.0
4272,US,85,16.0,Chardonnay,2018.0
4273,Italy,85,16.0,Red Blend,2020.0
4274,US,85,14.0,Cabernet Sauvignon,2019.0
4275,US,85,13.0,Merlot,2019.0
4276,US,85,13.0,Riesling,2020.0
4280,US,85,36.0,Bordeaux-style Red Blend,2017.0
4283,US,85,21.0,Pinot Noir,2019.0
4289,US,89,27.0,Chardonnay,2013.0
4290,US,89,46.0,Bordeaux-style Red Blend,2012.0
4291,US,89,33.0,Riesling,2014.0
4292,US,89,30.0,Pinot Noir,2014.0
4293,Chile,89,37.0,Bordeaux-style Red Blend,2012.0
4296,US,89,55.0,Syrah,2012.0
4299,US,89,49.0,Red Blend,2013.0
4300,Italy,89,37.0,Red Blend,2012.0
4303,France,89,36.0,Bordeaux-style Red Blend,2012.0
4308,US,89,57.0,Cabernet Sauvignon,2011.0
4309,US,89,42.0,Syrah,2012.0
4311,Chile,89,33.0,Syrah,2013.0
4312,US,89,26.0,Sauvignon Blanc,2013.0
4315,France,89,41.0,Sauvignon Blanc,2013.0
4316,US,89,30.0,Riesling,2013.0
4319,US,89,50.0,Pinot Noir,2012.0
4323,US,89,54.0,Pinot Noir,2013.0
4324,Australia,89,39.0,Cabernet Sauvignon,2011.0
4326,US,88,29.0,Chardonnay,2013.0
4327,US,88,40.0,Pinot Noir,2012.0
4328,France,88,40.0,Sauvignon Blanc,2011.0
4330,Italy,88,50.0,Red Blend,2012.0
4333,Australia,88,66.0,Pinot Noir,2012.0
4335,US,90,34.0,Syrah,2018.0
4337,US,90,45.0,Pinot Noir,2020.0
4338,US,90,36.0,Pinot Noir,2020.0
4342,US,90,32.0,Pinot Noir,2021.0
4343,US,90,26.0,Chardonnay,2020.0
4344,US,90,45.0,Pinot Noir,2019.0
4345,US,90,29.0,Pinot Noir,2020.0
4346,US,90,25.0,Red Blend,2020.0
4347,US,90,30.0,Syrah,2018.0
4348,US,90,34.0,Cabernet Sauvignon,2018.0
4350,US,90,31.0,Pinot Noir,2020.0
4351,US,90,35.0,Pinot Noir,2020.0
4352,Italy,90,28.0,Red Blend,2019.0
4353,US,90,22.0,Sauvignon Blanc,2021.0
4354,Spain,90,47.0,Red Blend,2018.0
4355,Italy,90,30.0,Red Blend,2018.0
4356,France,90,24.0,Bordeaux-style Red Blend,2020.0
4357,France,90,26.0,Bordeaux-style Red Blend,2020.0
4358,France,90,24.0,Bordeaux-style Red Blend,2020.0
4359,France,90,28.0,Bordeaux-style Red Blend,2020.0
4362,France,90,26.0,Bordeaux-style Red Blend,2020.0
4364,France,91,46.0,Chardonnay,2014.0
4365,Italy,91,63.0,Red Blend,2011.0
4366,US,91,58.0,Cabernet Sauvignon,2012.0
4367,Argentina,91,101.0,Pinot Noir,2015.0
4368,France,91,56.0,Chardonnay,2014.0
4369,Argentina,91,31.0,Red Blend,2014.0
4371,France,91,67.0,Chardonnay,2013.0
4372,France,91,35.0,Chardonnay,2013.0
4373,France,91,75.0,Chardonnay,2014.0
